TERM DESCRIPTION,TERM,SESSION,SESSION DESCRIPTION,DEPARTMENT,SUBJECT,COURSE,Course+Subject,CLASS/SECTION NBR,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,PERCENT MAJORS,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WX,I,R,P,S,NY,NR,NC,OTHER,EFFECTIVE DATE
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,100,AAAD-A100,21460,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",12,14,4,2.748,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,100,AAAD-A100,20144,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",13,13,4,2.964,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,110,AAAD-A110,20145,AFRICAN AMERCN CHORAL ENSEMBLE,"McCutchen,Keith D.",6,7,3.783,3.104,14.3,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,110,AAAD-A110,21461,AFRICAN AMERCN CHORAL ENSEMBLE,"Wise,Raymond",5,8,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,112,AAAD-A112,29209,BLACK MUSIC OF TWO WORLDS,"Burnim,Mellonee Victoria",19,22,2.368,2.702,0,0,0,0,1,4,4,3,3,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,120,AAAD-A120,20146,SOUL REVUE,"Mahluli,Nathanael Fareed",17,17,3.982,2.918,0,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,120,AAAD-A120,21462,SOUL REVUE,"Sykes,Charles Evans",13,14,3.862,3.073,0,0,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,131,AAAD-A131,28136,EARLY AAAD LITERATURE,"Smith,April Faye",16,31,3.481,2.919,0,3,3,3,3,2,1,0,1,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,132,AAAD-A132,29968,RECENT AAAD LITERATURE,"McElroy,Frederick L.",23,31,3.491,2.795,0,0,8,4,6,3,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,150,AAAD-A150,21464,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",135,154,3.15,2.937,1.4,7,30,16,20,26,5,15,8,4,2,0,1,1,7,12,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,150,AAAD-A150,20152,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",148,169,3.415,3.055,0,14,44,29,22,18,6,4,5,2,0,0,1,3,6,15,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,169,AAAD-A169,29550,INTRO TO AFRICAN AMERICAN LIT,"Grim,Valerie",33,37,3.739,2.729,5.7,11,12,3,1,4,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,205,AAAD-A205,34343,BLACK ELECTORAL POLITICS,"Stanfield,John H.",12,21,2.608,2.456,6.3,2,1,0,1,4,0,0,2,0,0,0,0,2,2,5,2,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,210,AAAD-A210,22831,BLACK WOMEN IN THE DIASPORA,"McCluskey,Audrey T.",30,38,2.933,2.756,0,0,1,6,8,6,4,2,1,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,221,AAAD-A221,24239,DANCE IN THE AFRICAN DIASPORA,"Rosa,Iris",26,43,3.542,3.139,0,13,4,2,1,2,1,0,1,1,0,1,0,0,1,16,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,263,AAAD-A263,36372,CONTEMP SOC ISS-AFR AMER COMM,"Williams,Vernon",31,34,3.497,2.607,6.3,1,15,5,3,2,0,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,264,AAAD-A264,22833,HIST SPORT&AFRO-AMERICAN EXPER,"Sailes,Gary A.",166,180,3.217,2.837,0,5,37,25,35,35,10,4,3,3,0,5,1,3,5,9,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,265,AAAD-A265,20157,MODRN SPORTS & AFRO-AMER EXPER,"Sailes,Gary A.",170,187,3.366,2.833,0.6,11,59,12,20,43,7,2,11,3,1,1,0,0,8,7,1,0,1,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,278,AAAD-A278,26363,CONTEMPORARY BLACK FILM,"Smith,April Faye",25,40,3.5,2.918,3.3,8,7,4,0,2,1,0,2,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,290,AAAD-A290,31942,SOCIOCLTRL PERSP-AFR AMER MUS,"Cohen,Judah M",14,20,3.286,3.086,6.7,0,3,2,3,4,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,295,AAAD-A295,30137,SURVEY OF HIP HOP,"Orejuela,Fernando",74,92,3.226,2.912,2.5,8,9,15,11,15,4,6,4,0,1,0,0,1,6,12,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,297,AAAD-A297,34825,POPULAR MUSIC OF BLACK AMERICA,"Maultsby,Portia K.",9,20,2.067,2.258,0,0,1,0,0,2,0,1,2,0,1,1,0,1,3,7,1,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,299,AAAD-A299,36373,SPEC TPC ARTS&HUMANITIES AAADS,"Horsley,Marsha Nicole",21,27,3.257,2.628,0,3,5,4,3,1,1,1,1,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,299,AAAD-A299,34614,SPEC TPC ARTS&HUMANITIES AAADS,"Horton-Stallings,Lamonda",14,22,3.257,2.972,0,0,4,1,5,0,2,1,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,304,AAAD-A304,33343,BLACK PARIS,"Julien,Eileen",4,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,350,AAAD-A350,29553,BLACK ATLANTIC,"Williams,Vernon",28,29,3.211,2.771,10.7,3,4,6,3,3,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,355,AAAD-A355,21465,AFRICAN-AMERICAN HISTORY I,"Grim,Valerie",29,36,2.707,2.644,0,0,3,1,3,9,3,4,3,0,2,0,0,1,3,3,1,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,356,AAAD-A356,20174,AFRICAN-AMERICAN HISTORY II,"Williams,Vernon",52,55,3.365,2.949,7.5,0,19,6,10,7,4,1,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,379,AAAD-A379,21466,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",34,40,3.576,2.921,8.3,0,8,11,13,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,380,AAAD-A380,23344,CONTEMP BLACK AMER WRITING,"Muyumba,Walton",17,25,2.841,2.928,9.5,0,2,6,1,0,3,0,1,1,0,3,0,0,4,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,393,AAAD-A393,26808,HISTORY OF JAZZ,"Baker,David N.",33,35,2.821,2.886,3,8,3,4,2,2,1,1,5,0,2,2,3,0,0,2,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,395,AAAD-A395,27599,CONTEMPORARY JAZZ & SOUL MUSIC,"Baker,David N.",34,39,3.659,2.999,5.7,20,5,1,3,0,2,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,399,AAAD-A399,37307,ADV TPCS ARTS&HUMANITIES AAADS,"McCluskey,Audrey T.",14,18,2.586,2.735,6.3,0,2,1,4,3,0,1,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,399,AAAD-A399,23035,ADV TPCS ARTS&HUMANITIES AAADS,"Rosa,Iris",23,41,3.461,3.051,4,9,5,1,2,1,0,2,2,1,0,0,0,0,1,16,0,0,1,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,400,AAAD-A400,29211,TOPICS IN AFRICAN AMER STUDIES,"Wolfskill,Phoebe",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,400,AAAD-A400,29212,TOPICS IN AFRICAN AMER STUDIES,"Wolfskill,Phoebe",2,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,405,AAAD-A405,25740,CIV RHTS/BLACK POW MVMNT 54-74,"Williams,Vernon",16,19,3.556,3.004,16.7,2,6,2,4,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,407,AAAD-A407,34345,AFRICAN AMER&AFR PROTEST STRAT,"Stanfield,John H.",9,26,2.067,2.361,0,0,1,0,3,0,1,0,1,0,0,0,0,3,6,10,1,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,430,AAAD-A430,29213,THE CINEMA OF AFRICANA WOMEN,"McCluskey,Audrey T.",24,32,2.588,2.635,0,0,2,1,1,6,6,3,2,0,0,2,0,1,2,6,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,479,AAAD-A479,34418,CONTEMPORARY BLACK POETRY,"McElroy,Frederick L.",20,25,3.525,2.814,0,0,3,9,5,2,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,481,AAAD-A481,22557,RACISM AND THE LAW,"Motley,Frank",21,27,3.462,3.11,4.2,4,3,3,2,9,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,493,AAAD-A493,21468,SENIOR SEMINAR IN AAADS,"McElroy,Frederick L.",4,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,495,AAAD-A495,21474,INDIV READ IN AFR AMER STUDIES,"Grim,Valerie",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,495,AAAD-A495,20159,INDIV READ IN AFR AMER STUDIES,"Grim,Valerie",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,495,AAAD-A495,20160,INDIV READ IN AFR AMER STUDIES,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,495,AAAD-A495,20163,INDIV READ IN AFR AMER STUDIES,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,502,AAAD-A502,33779,SEM ON WRIGHT/BALDWIN/ELLISON,"Muyumba,Walton",5,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,550,AAAD-A550,29564,BLACK ATLANTIC,"Williams,Vernon",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,556,AAAD-A556,29214,RACE&CULTURE-AFRICAN DIASPORA,"McCluskey,Audrey T.",4,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,579,AAAD-A579,24565,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",3,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,590,AAAD-A590,34192,SPECIAL TOPICS AFRO-AMER STDS,"Grim,Valerie",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,590,AAAD-A590,34026,SPECIAL TOPICS AFRO-AMER STDS,"McCluskey,Audrey T.",0,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,599,AAAD-A599,30279,MA THESIS RESEARCH,"Grim,Valerie",0,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,606,AAAD-A606,26371,"RACE AND GLOBAL CITY, PART II","Grim,Valerie",4,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,669,AAAD-A669,21481,INDEP PROJ BLACK SOCIAL ISSUES,"Grim,Valerie",5,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,689,AAAD-A689,21483,INDEP. PROG. IN BLK LITERATURE,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,692,AAAD-A692,29976,WR & LIT IN AFRC AM&AFRC DIASP,"Julien,Eileen",2,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,694,AAAD-A694,29216,THE ARTS IN AFRC AM&AFRC DIASP,"Wolfskill,Phoebe",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,697,AAAD-A697,34590,SPECIAL TOPICS IN AAADS,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,697,AAAD-A697,36152,SPECIAL TOPICS IN AAADS,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,698,AAAD-A698,21484,FIELD STUDY SEMINAR,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,698,AAAD-A698,20172,FIELD STUDY SEMINAR,"Grim,Valerie",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,799,AAAD-A799,28766,STUDY&RESEARCH ABROAD IN AAADS,"Grim,Valerie",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,899,AAAD-A899,28251,PHD DISSERTATION RESEARCH,"Grim,Valerie",0,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,899,AAAD-A899,28251,PHD DISSERTATION RESEARCH,"Grim,Valerie",0,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-G,599,AAAD-G599,25742,THESIS RESEARCH,"Grim,Valerie",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-G,901,AAAD-G901,28252,ADVANCED RESEARCH,"Grim,Valerie",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,412,AADM-Y412,23916,OPERA MANAGEMENT,"Hunt,Christopher",8,12,3,3.447,33.3,2,1,0,1,1,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,500,AADM-Y500,22828,TOPICS IN ARTS ADMINISTRATION,"Hunt,Christopher",6,8,3.667,3.847,100,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,500,AADM-Y500,28803,TOPICS IN ARTS ADMINISTRATION,"McClelland,Danielle Rae",4,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,500,AADM-Y500,24252,TOPICS IN ARTS ADMINISTRATION,"Payne,Christopher J",18,20,3.544,3.744,78.9,0,3,8,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,500,AADM-Y500,34226,TOPICS IN ARTS ADMINISTRATION,"Preston,Corinne Teresa",11,11,3.409,3.68,90.9,0,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,500,AADM-Y500,28044,TOPICS IN ARTS ADMINISTRATION,"Wilkerson,Michael Neil",37,37,3.754,3.712,100,0,16,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,505,AADM-Y505,22523,PROGRAMMNG THE PERFORMING ARTS,"Hunt,Christopher",8,10,2.925,3.737,25,2,0,1,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,511,AADM-Y511,20984,PERFORMING ARTS CENTER MGMT,"Booher,Douglas D",41,41,3.917,3.704,92.7,1,30,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,515,AADM-Y515,32745,FINANCIAL MANAGEMENT FOR ARTS,"McCaster,Antonette L",42,43,3.905,3.718,85.7,35,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,515,AADM-Y515,29231,FINANCIAL MANAGEMENT FOR ARTS,"McCaster,Antonette L",30,33,3.923,3.777,77.4,20,5,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,525,AADM-Y525,24231,MUSEUM MANAGEMENT,"Lewis,Frank",37,40,3.489,3.746,94.7,3,13,3,4,10,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,530,AADM-Y530,21516,AUDIENCE DEV & MRKTG THE ARTS,"Lyons,Al L",34,35,3.821,3.754,74.3,1,22,7,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,550,AADM-Y550,15745,PRACTICUM IN ARTS ADMIN,"Rushton,Michael",0,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,550,AADM-Y550,14843,PRACTICUM IN ARTS ADMIN,"Rushton,Michael",0,8,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,559,AADM-Y559,24408,PUBLIC POLICY AND THE ARTS,"Wilkerson,Michael Neil",16,20,3.725,3.774,35.3,0,8,3,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AADM,AADM-Y,650,AADM-Y650,15746,SEMINAR IN ARTS ADMINISTRATION,"Hunt,Christopher",27,27,3.844,3.759,92.6,17,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AADM,AADM-Y,690,AADM-Y690,14844,INDPT STUDY IN ARTS ADMIN,"Rushton,Michael",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
