days_since_install,all_organic_move,all_organic_size,all_pac_move,all_pac_size,gross_rev_move
101,,,,,0.00953054103651
102,,,,,0.00953054103651
103,,,,,0.00953054103651
104,,,,,0.00953054103651
105,,,,,0.00953054103651
106,,,,,0.00953054103651
107,,,,,0.00953054103651
108,,,,,0.00953054103651
109,,,,,0.00953054103651
110,,,,,0.00953054103651
111,,,,,0.00953054103651
112,,,,,0.00953054103651
113,,,,,0.0111757143404
114,,,,,0.0111757143404
115,,,,,0.0111757143404
116,,,,,0.0111757143404
117,,,,,0.0111757143404
118,,,,,0.0111757143404
119,,,,,0.0111757143404
120,,,,,0.0111757143404
121,,,,,0.0111757143404
122,,,,,0.0111757143404
123,,,,,0.0111757143404
124,,,,,0.0111757143404
125,,,,,0.0111757143404
126,,,,,0.0111757143404
127,,,,,0.0111757143404
128,,,,,0.0111757143404
129,,,,,0.0111757143404
130,,,,,0.0111757143404
131,,,,,0.0111757143404
132,,,,,0.0111757143404
133,,,,,0.0111757143404
134,,,,,0.0111757143404
135,,,,,0.0111757143404
136,,,,,0.0111757143404
137,,,,,0.0111757143404
138,,,,,0.0111757143404
139,,,,,0.0111757143404
140,,,,,0.0111757143404
141,,,,,0.0111757143404
142,,,,,0.0111757143404
143,,,,,0.0111757143404
144,,,,,0.010201291267
145,,,,,0.010201291267
146,,,,,0.010201291267
147,,,,,0.010201291267
148,,,,,0.010201291267
149,,,,,0.010201291267
150,,,,,0.010201291267
151,,,,,0.010201291267
152,,,,,0.010201291267
153,,,,,0.010201291267
154,,,,,0.010201291267
155,,,,,0.010201291267
156,,,,,0.010201291267
157,,,,,0.010201291267
158,,,,,0.010201291267
159,,,,,0.010201291267
160,,,,,0.010201291267
161,,,,,0.010201291267
162,,,,,0.010201291267
163,,,,,0.010201291267
164,,,,,0.010201291267
165,,,,,0.010201291267
166,,,,,0.010201291267
167,,,,,0.010201291267
168,,,,,0.010201291267
169,,,,,0.010201291267
170,,,,,0.010201291267
171,,,,,0.010201291267
172,,,,,0.010201291267
173,,,,,0.010201291267
174,,,,,0.0123368352622
175,,,,,0.0123368352622
176,,,,,0.0123368352622
177,,,,,0.0123368352622
178,,,,,0.0123368352622
179,,,,,0.0123368352622
180,,,,,0.0123368352622
181,,,,,0.0123368352622
182,,,,,0.0123368352622
183,,,,,0.0123368352622
184,,,,,0.0123368352622
185,,,,,0.0123368352622
186,,,,,0.0123368352622
187,,,,,0.0123368352622
188,,,,,0.0123368352622
189,,,,,0.0123368352622
190,,,,,0.0123368352622
191,,,,,0.0123368352622
192,,,,,0.0123368352622
193,,,,,0.0123368352622
194,,,,,0.0123368352622
195,,,,,0.0123368352622
196,,,,,0.0123368352622
197,,,,,0.0123368352622
198,,,,,0.0123368352622
199,,,,,0.0123368352622
200,,,,,0.0123368352622
201,,,,,0.0123368352622
202,,,,,0.0123368352622
203,,,,,0.0123368352622
204,,,,,0.0123368352622
205,,,,,0.014323899076
206,,,,,0.014323899076
207,,,,,0.014323899076
208,,,,,0.014323899076
209,,,,,0.014323899076
210,,,,,0.014323899076
211,,,,,0.014323899076
212,,,,,0.014323899076
213,,,,,0.014323899076
214,,,,,0.014323899076
215,,,,,0.014323899076
216,,,,,0.014323899076
217,,,,,0.014323899076
218,,,,,0.014323899076
219,,,,,0.014323899076
220,,,,,0.014323899076
221,,,,,0.014323899076
222,,,,,0.014323899076
223,,,,,0.014323899076
224,,,,,0.014323899076
225,,,,,0.014323899076
226,,,,,0.014323899076
227,,,,,0.014323899076
228,,,,,0.014323899076
229,,,,,0.014323899076
230,,,,,0.014323899076
231,,,,,0.014323899076
232,,,,,0.014323899076
233,,,,,0.014323899076
234,,,,,0.014323899076
235,,,,,0.0111907897603
236,,,,,0.0111907897603
237,,,,,0.0111907897603
238,,,,,0.0111907897603
239,,,,,0.0111907897603
240,,,,,0.0111907897603
241,,,,,0.0111907897603
242,,,,,0.0111907897603
243,,,,,0.0111907897603
244,,,,,0.0111907897603
245,,,,,0.0111907897603
246,,,,,0.0111907897603
247,,,,,0.0111907897603
248,,,,,0.0111907897603
249,,,,,0.0111907897603
250,,,,,0.0111907897603
251,,,,,0.0111907897603
252,,,,,0.0111907897603
253,,,,,0.0111907897603
254,,,,,0.0111907897603
255,,,,,0.0111907897603
256,,,,,0.0111907897603
257,,,,,0.0111907897603
258,,,,,0.0111907897603
259,,,,,0.0111907897603
260,,,,,0.0111907897603
261,,,,,0.0111907897603
262,,,,,0.0111907897603
263,,,,,0.0111907897603
264,,,,,0.0111907897603
265,,,,,0.0111907897603
266,,,,,0.0126423320805
267,,,,,0.0126423320805
268,,,,,0.0126423320805
269,,,,,0.0126423320805
270,,,,,0.0126423320805
271,,,,,0.0126423320805
272,,,,,0.0126423320805
273,,,,,0.0126423320805
274,,,,,0.0126423320805
275,,,,,0.0126423320805
276,,,,,0.0126423320805
277,,,,,0.0126423320805
278,,,,,0.0126423320805
279,,,,,0.0126423320805
280,,,,,0.0126423320805
281,,,,,0.0126423320805
282,,,,,0.0126423320805
283,,,,,0.0126423320805
284,,,,,0.0126423320805
285,,,,,0.0126423320805
286,,,,,0.0126423320805
287,,,,,0.0126423320805
288,,,,,0.0126423320805
289,,,,,0.0126423320805
290,,,,,0.0126423320805
291,,,,,0.0126423320805
292,,,,,0.0126423320805
293,,,,,0.0126423320805
294,,,,,0.0126423320805
295,,,,,0.0126423320805
296,,,,,0.0126423320805
297,,,,,0.0145386818925
298,,,,,0.0145386818925
299,,,,,0.0145386818925
300,,,,,0.0145386818925
301,,,,,0.0145386818925
302,,,,,0.0145386818925
303,,,,,0.0145386818925
304,,,,,0.0145386818925
305,,,,,0.0145386818925
306,,,,,0.0145386818925
307,,,,,0.0145386818925
308,,,,,0.0145386818925
309,,,,,0.0145386818925
310,,,,,0.0145386818925
311,,,,,0.0145386818925
312,,,,,0.0145386818925
313,,,,,0.0145386818925
314,,,,,0.0145386818925
315,,,,,0.0145386818925
316,,,,,0.0145386818925
317,,,,,0.0145386818925
318,,,,,0.0145386818925
319,,,,,0.0145386818925
320,,,,,0.0145386818925
321,,,,,0.0145386818925
322,,,,,0.0145386818925
323,,,,,0.0145386818925
324,,,,,0.0145386818925
325,,,,,0.0145386818925
326,,,,,0.0145386818925
327,,,,,0.0126451309307
328,,,,,0.0126451309307
329,,,,,0.0126451309307
330,,,,,0.0126451309307
331,,,,,0.0126451309307
332,,,,,0.0126451309307
333,,,,,0.0126451309307
334,,,,,0.0126451309307
335,,,,,0.0126451309307
336,,,,,0.0126451309307
337,,,,,0.0126451309307
338,,,,,0.0126451309307
339,,,,,0.0126451309307
340,,,,,0.0126451309307
341,,,,,0.0126451309307
342,,,,,0.0126451309307
343,,,,,0.0126451309307
344,,,,,0.0126451309307
345,,,,,0.0126451309307
346,,,,,0.0126451309307
347,,,,,0.0126451309307
348,,,,,0.0126451309307
349,,,,,0.0126451309307
350,,,,,0.0126451309307
351,,,,,0.0126451309307
352,,,,,0.0126451309307
353,,,,,0.0126451309307
354,,,,,0.0126451309307
355,,,,,0.0126451309307
